#ind,TIC,period_2g,period_2g_sigma_low,period_2g_sigma_high,chi2_2g,period_pf,period_pf_sigma_low,period_pf_sigma_high,chi2_pf,period_combined,period_combined_sigma_low,period_combined_sigma_high
4016,306900161,3.56262364,0.00052304,0.00054639,9499.06340303,3.56304169,0.00009838,0.00042030,9965.42688568,3.56297566,0.00061086,0.00037060
4017,306955469,11.95059477,0.00137707,0.00116393,17850.58821453,11.95433881,0.00269318,0.00208603,16919.20707138,11.95176555,0.00200632,0.00361526
4018,306987941,0.47102148,0.00000115,0.00000113,105075.67063205,0.47101643,0.00000176,0.00000141,53942.32350928,0.47101742,0.00000228,0.00000415
4019,307304908,2.82784530,0.00003118,0.00006307,235907.78046353,2.82741581,0.00002300,0.00001667,217597.96524813,2.82744375,0.00004023,0.00042836
4020,307379977,0.83626331,0.00005606,0.00005457,6168.78126184,0.83626318,0.00006296,0.00005528,6076.71356894,0.83626310,0.00005991,0.00005422
4021,307488184,NaN,0.00001192,0.00001473,NaN,10.06690337,0.00000621,0.00000691,250451.89024447,10.06690337,0.00000621,0.00000691
4022,307783750,0.56503925,0.00000160,0.00000173,3301237.43706730,0.56504238,0.00000073,0.00000075,3315906.84018141,0.56504144,0.00000294,0.00000133
4023,307907420,3.29885293,0.00015195,0.00015251,13622.64767085,NaN,NaN,NaN,18209.02460680,3.29885360,0.00014971,0.00015134
4024,308457026,0.64389310,0.00000021,0.00000024,3999183.04311749,0.64390121,0.00000040,0.00000038,7668253.85676141,0.64389327,0.00000032,0.00000798
4025,308991822,8.22438794,0.00000039,0.00000040,55452857.79952607,8.22438989,0.00000317,0.00000098,53409146.25902724,8.22438817,0.00000074,0.00000221
4026,309598681,NaN,0.00000205,0.00000196,31110435.93401868,0.84858354,0.00000166,0.00000166,3169669.53870450,0.84858355,0.00000169,0.00000165
4027,309600985,NaN,0.00018717,0.00023518,NaN,11.76263659,0.00010492,0.00012042,4254567.09504515,11.76263659,0.00010492,0.00012042
4028,309658221,NaN,0.00000800,0.00000691,NaN,7.59500222,0.00000351,0.00000394,1921049.87647878,7.59500222,0.00000351,0.00000394
4029,309809572,0.32680560,0.00000006,0.00000006,237356.73076788,0.32680039,0.00000001,0.00000103,1012415.66747636,0.32680558,0.00000408,0.00000007
4030,309908721,2.83380791,0.00003304,0.00003306,48548.07949856,NaN,NaN,NaN,413581.16550513,2.83380751,0.00003320,0.00003276
4031,310004006,0.64504135,0.00000003,0.00000003,4765928.09925583,0.64503089,0.00000049,0.00000034,38811033.09715144,0.64504135,0.00000004,0.00000003
4032,310170498,0.32222913,0.00000023,0.00000025,71125.38902941,0.32222743,0.00000062,0.00000056,105545.12967881,0.32222890,0.00000164,0.00000038
4033,311035838,5.79949723,0.00001630,0.00001484,23572.69611318,5.79953360,0.00000784,0.00000679,22702.65046003,5.79952224,0.00003256,0.00001475
4034,311062274,8.19017021,0.00004116,0.00003839,402934.63929376,8.19025063,0.00089192,0.00061680,583674.58279690,8.19017206,0.00018900,0.00026345
4035,311070085,2.38970949,0.00000068,0.00000065,522230.82172453,2.38970774,0.00000037,0.00000044,157302.67599717,2.38970791,0.00000047,0.00000126
4036,311128363,NaN,0.00001845,0.00002949,NaN,3.38695384,0.00000146,0.00000089,6507021.87846799,3.38695384,0.00000146,0.00000089
4037,311183180,13.24916803,0.00024159,0.00022417,279070.41107789,13.24010407,0.00135584,0.00147276,339328.04014690,13.24882152,0.00925394,0.00047404
4038,311945765,0.49797331,0.00000021,0.00000020,476566.93243478,0.49797218,0.00000011,0.00000003,409261.20021514,0.49797222,0.00000010,0.00000117
4039,312060302,NaN,0.00000131,0.00000128,NaN,0.98049548,0.00000103,0.00000088,3237288.46521387,0.98049548,0.00000103,0.00000088
4040,312102715,0.99366604,0.00002358,0.00002542,42413.57739365,0.99369375,0.00003546,0.00004394,38784.99405323,0.99367813,0.00002954,0.00003964
4041,312111256,1.15182434,0.00000835,0.00000770,120474.15176306,1.15179833,0.00008045,0.00002697,135971.35959253,1.15181915,0.00005465,0.00001145
4042,312160410,0.30233004,0.00000093,0.00000092,39968.31505431,0.30233190,0.00000134,0.00000143,3213046.92743083,0.30233005,0.00000094,0.00000093
4043,312230566,1.95067083,0.00000465,0.00000562,426724.56461555,1.95065692,0.00000317,0.00000299,264866.03385647,1.95065947,0.00000458,0.00001252
4044,312286761,NaN,0.00000051,0.00000045,NaN,0.50999866,0.00000075,0.00000063,216671.26936710,0.50999866,0.00000075,0.00000063
4045,312471472,1.55192044,0.00001583,0.00001655,69634.15317031,1.55195025,0.00001018,0.00001593,78209.07872242,1.55193711,0.00002546,0.00002042
4046,312865025,NaN,0.00000263,0.00000265,212553896.99714723,1.36736677,0.00001794,0.00000814,1121595.55755423,1.36736678,0.00001750,0.00000829
4047,315120782,NaN,0.00000121,0.00000122,NaN,0.93376513,0.00000134,0.00004378,93875.63990820,0.93376513,0.00000134,0.00004378
4048,315287999,1.75047075,0.00000008,0.00000008,18577314.63912745,NaN,NaN,NaN,132402442.79592653,1.75047075,0.00000008,0.00000008
4049,315937374,0.60579591,0.00000017,0.00000018,2042616.21864918,0.60579614,0.00000047,0.00000186,1142953.43167065,0.60579600,0.00000029,0.00000144
4050,316182273,11.21516807,0.00015769,0.00014872,1157050.17428302,NaN,NaN,NaN,1193575.08528501,11.21516685,0.00015335,0.00014986
4051,316207527,NaN,0.00015705,0.00000633,NaN,3.01306825,0.00002457,0.00001894,4146628.47484132,3.01306825,0.00002457,0.00001894
4052,316249183,8.05849803,0.00168857,0.00176889,8228.22464312,8.06430506,0.00251087,0.00420906,8298.41216209,8.06092697,0.00329003,0.00530016
4053,316317026,3.55077541,0.00000374,0.00000396,865906.01384065,3.55076083,0.00000630,0.00000572,1738496.34669945,3.55077298,0.00001260,0.00000523
4054,317191077,2.19167858,0.00001453,0.00001530,343060.48152695,2.19155107,0.00004060,0.00002948,195078.70907053,2.19157500,0.00005148,0.00010602
4055,317330474,12.20852670,0.00093222,0.00080403,13608.56263950,12.21504655,0.00014738,0.00009028,103285.50474723,12.20866890,0.00097958,0.00120500
4056,317411334,NaN,0.00002773,0.00002833,NaN,2.89742145,0.00002137,0.00002309,1195426.82593509,2.89742145,0.00002137,0.00002309
4057,317470793,NaN,0.00000016,0.00000017,NaN,0.41743312,0.00000014,0.00000015,625389.02118419,0.41743312,0.00000014,0.00000015
4058,317681251,3.87222995,0.00013618,0.00013879,17276.82860601,3.87214891,0.00002064,0.00009970,16293.53853793,3.87218066,0.00005749,0.00012909
4059,318067171,2.18055106,0.00006407,0.00006415,11793.69078038,2.18058350,0.00003351,0.00003514,11580.79865991,2.18057235,0.00005488,0.00004538
4060,318210930,0.22771261,0.00000004,0.00000004,145225937.09013399,0.22769821,0.00000000,0.00000000,404180179.80703521,0.22771261,0.00000004,0.00000004
4061,318230704,NaN,0.00002329,0.00002365,NaN,3.55535060,0.00000442,0.00000447,173403.48098026,3.55535060,0.00000442,0.00000447
4062,318290913,15.02174927,0.00020078,0.00018856,37141.56629026,15.02120776,0.00047738,0.00094367,193718.85397937,15.02173000,0.00027420,0.00021666
4063,318512022,4.82414749,0.00006509,0.00006460,54114.17694997,4.82423455,0.00008891,0.00009450,55403.87162914,4.82418233,0.00007968,0.00010143
4064,318573150,NaN,0.00005175,0.00004066,NaN,5.74432287,0.00208322,0.00064542,1890061.07934890,5.74432287,0.00208322,0.00064542
4065,318649597,0.92688687,0.00000076,0.00000074,168128.08201741,0.92689081,0.00000110,0.00000111,3814991.96352701,0.92688690,0.00000078,0.00000084
4066,318825030,NaN,0.00005018,0.00005496,NaN,5.18474856,0.00004284,0.00004585,1251451.79224761,5.18474856,0.00004284,0.00004585
4067,318887874,2.97419445,0.00000170,0.00000158,45840216.91828858,2.97432112,0.00000247,0.00000247,47982746.39035376,2.97419765,0.00000411,0.00012464
4068,318965971,1.93120553,0.00014330,0.00007865,173314.43659869,1.93735667,0.00027302,0.00023386,167924.08666302,1.93665903,0.00551896,0.00080889
4069,318986273,3.10702520,0.00004259,0.00005033,76041.23754647,3.10730004,0.00000954,0.00000641,73872.87425569,3.10728172,0.00027611,0.00002144
4070,319558164,8.98274758,0.00025058,0.00026761,127296.31984099,8.98443685,0.00041270,0.00161670,178574.25181394,8.98301630,0.00042321,0.00186876
4071,319863494,5.13624840,0.00008010,0.00008182,20170722.14944516,5.13473511,0.00012831,0.00006169,20286144.37725272,5.13603484,0.00135864,0.00025423
